timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741116223906,216,Get group,200,OK,Load Test 1-36,text,true,,354,602,100,100,http://localhost:6400/api/group,216,0,0
1741116223864,263,Delete group,200,OK,Load Test 1-92,text,true,,290,607,100,100,http://localhost:6400/api/group,263,0,0
1741116223875,275,Delete group,200,OK,Load Test 1-27,text,true,,290,607,100,100,http://localhost:6400/api/group,274,0,0
1741116223974,184,Create group,200,OK,Load Test 1-41,text,true,,290,656,100,100,http://localhost:6400/api/group,184,0,0
1741116221882,2284,Login,200,OK,Load Test 1-35,text,true,,1374,249,100,100,http://localhost:6400/api/auth,2284,0,0
1741116224166,0,Login-0,200,OK,Load Test 1-35,text,true,,683,0,100,100,null,0,0,0
1741116223988,186,Create group,200,OK,Load Test 1-5,text,true,,290,656,100,100,http://localhost:6400/api/group,186,0,0
1741116221882,2302,Login,200,OK,Load Test 1-37,text,true,,1374,249,100,100,http://localhost:6400/api/auth,2301,0,0
1741116224184,0,Login-0,200,OK,Load Test 1-37,text,true,,683,0,100,100,null,0,0,0
1741116221887,2342,Login,200,OK,Load Test 1-100,text,true,,1375,249,100,100,http://localhost:6400/api/auth,2341,0,0
1741116224229,0,Login-0,200,OK,Load Test 1-100,text,true,,684,0,100,100,null,0,0,0
